question,document
Is there a Telegram group for this course?,054f3fd58f
How can I get updates about the LLM Zoomcamp?,054f3fd58f
Where do you post course announcements?,054f3fd58f
Do you have a Telegram channel I can join?,054f3fd58f
What's the Telegram link for staying updated with the course?,054f3fd58f
"My FAQ dataset row count is different from what's shown in the lecture, is something broken?",e2d595f23c
Why do I get a different number of entries compared to the tutorial video?,e2d595f23c
Is the FAQ dataset static or does it keep changing?,e2d595f23c
"I'm getting way more/fewer records than the instructor in the video, what's going on?",e2d595f23c
Does it matter if my dataset size doesn't match the one from the recordings?,e2d595f23c
"I missed the deadline but the form is still up, is it okay to submit now?",a9353fadfe
Will my homework still count if I turn it in after the due date but the form hasn't closed?,a9353fadfe
Does the form being open mean late submissions are still accepted?,a9353fadfe
The deadline already passed but I can still access the form — should I go ahead and submit?,a9353fadfe
Am I allowed to submit my answers late as long as the form hasn't been shut down?,a9353fadfe
Is it possible to get extra time to turn in assignments?,cdc3b285e5
"What happens if I miss a homework due date, does it hurt my final grade?",cdc3b285e5
Can I still hand in my homework after the official deadline passes?,cdc3b285e5
Are late assignments accepted at all in this course?,cdc3b285e5
"If I skip a homework, will it stop me from getting the certificate?",cdc3b285e5
Can people see my real name if I use it for the certificate?,651ba06b34
Is my actual identity exposed on the leaderboard?,651ba06b34
Where do I change what name shows up on my certificate vs the leaderboard?,651ba06b34
Does the certificate name get posted anywhere online?,651ba06b34
What's the difference between display name and certificate name?,651ba06b34
Is there a reason you guys skipped LangChain for this course?,b7cdde6b25
Should I be worried about not using a framework like LangChain while learning RAG?,b7cdde6b25
Will we get to use LangChain later or are we sticking to building everything from scratch?,b7cdde6b25
Is it better to learn the fundamentals first before jumping into tools like LangChain?,b7cdde6b25
Do I need to know how things work under the hood before using frameworks for LLM apps?,b7cdde6b25
Why am I getting an error when calling responses.create with OpenAI API?,f5df151c59
"My OpenAI code keeps failing with some kind of credit error, any ideas?",f5df151c59
What does the insufficient credits error mean in OpenAI and how do I fix it?,f5df151c59
"Getting an API error when trying to generate responses from OpenAI, what could be wrong?",f5df151c59
Do I need to add funds to my OpenAI account to use the responses.create function?,f5df151c59
Why am I getting a 429 error when calling the OpenAI API?,152af39a53
"My OpenAI API key keeps throwing a quota exceeded message, what should I do?",152af39a53
Do I need to pay to use the OpenAI API or is there a free tier?,152af39a53
"After adding credits to OpenAI I'm still getting errors, do I need to generate a new API key?",152af39a53
Which models can I actually use with my OpenAI account?,152af39a53
Is the OpenAI API going to be expensive for this course?,554d0eb78b
How much money do I need to budget for OpenAI API usage during the course?,554d0eb78b
What's the minimum top-up amount for the OpenAI API to follow along with the lessons?,554d0eb78b
Will I be spending a lot on API calls while doing the assignments?,554d0eb78b
Do I need to put in a lot of credit on OpenAI to get started with this module?,554d0eb78b
Is a paid OpenAI subscription required to do the assignments?,85384a18e5
Can I finish this course without spending money on OpenAI?,85384a18e5
Are there any free options instead of using the OpenAI API for homework?,85384a18e5
Will I need to enter a credit card for OpenAI to complete the course?,85384a18e5
What are some cheaper alternatives to OpenAI that work for this course?,85384a18e5
Do I have to use uv for this course or can I just stick with pip and venv?,f81dea8f7e
What's the benefit of uv over regular Python tools like pip and virtualenv?,f81dea8f7e
Is uv mandatory for the assignments or is it just a recommendation?,f81dea8f7e
Why does the course prefer uv instead of poetry or pip?,f81dea8f7e
Can I follow along with the lessons using pip instead of uv?,f81dea8f7e
"My OpenAI API key keeps throwing an error in the notebook, any idea why?",86d99bbf21
How do I make my .env variables visible inside a Jupyter notebook?,86d99bbf21
Do I need to install anything extra to load environment variables when working with OpenAI in notebooks?,86d99bbf21
"I keep getting an authentication error with OpenAI even though my key is in the .env file, what am I missing?",86d99bbf21
Is there a way to load API credentials from .env directly in Jupyter without hardcoding them?,86d99bbf21
What's the safest way to handle secret keys so they don't end up on GitHub?,233dabe430
How do I read environment variables from a file into my Python script?,233dabe430
Do I need to install anything extra to use .env files in my project?,233dabe430
How can I access my OpenAI or Groq credentials inside Python code?,233dabe430
"Is it enough to just put my secrets in .env, or do I need to do something else to protect them?",233dabe430
Do I have to stick with the specific model mentioned in the assignment or can I pick my own?,ee43413718
Is it okay to use a free LLM instead of a paid one for the homework?,ee43413718
Will I need to change the code if I switch to a different AI provider like Gemini or Groq?,ee43413718
What are some alternatives to OpenAI that I can use for this course?,ee43413718
Can I run a local model on my machine for the assignments instead of using a cloud API?,ee43413718
Can I use Gemini with the OpenAI library instead of installing Google's SDK?,0ae5c221b9
What base URL do I need to set to make OpenAI client work with Gemini API?,0ae5c221b9
Do I need to change anything in the homework notebook if I switch to Gemini from OpenAI?,0ae5c221b9
Where should I store my Gemini API key for the module 1 exercises?,0ae5c221b9
Is there a way to call Gemini models using chat completions format like we do with GPT?,0ae5c221b9
Where can I download Ollama for my Mac?,1d0b969028
What's the terminal command to get Ollama set up on Linux?,1d0b969028
How do I know if my local Ollama server is working properly?,1d0b969028
How can I use Ollama from a Python script instead of the command line chat?,1d0b969028
What happens when I run the llama3 model for the first time with Ollama?,1d0b969028
Why does my Ollama RAG prompt keep failing with a connection refused message?,c6fc2d4d11
"I'm getting a connection refused error when trying to query Ollama for my assignment, any fix?",c6fc2d4d11
How do I fix the connection refused issue when running prompts through Ollama in the notebook?,c6fc2d4d11
"Ollama keeps refusing connections during the RAG homework, what should I do?",c6fc2d4d11
Every time I try to prompt Ollama I get connection refused - how can I get it working again?,c6fc2d4d11
"My token count with tiktoken doesn't match what the API returns, is this normal?",bf0403d21b
Why does OpenAI say I used more tokens than what I calculated myself?,bf0403d21b
Where do the extra tokens come from when sending chat messages to OpenAI?,bf0403d21b
"I counted 320 tokens but got billed for 327, what's going on?",bf0403d21b
Does the chat formatting in the API add hidden tokens to my prompt?,bf0403d21b
Is there a way to avoid exporting my API key every time I open a new terminal window?,8b2f5e9d04
"What's the difference between direnv and dirdotenv, and which one should I pick?",8b2f5e9d04
How do I keep my API keys safe and make sure they don't accidentally get pushed to GitHub?,8b2f5e9d04
Can I use python-dotenv in my scripts instead of setting up shell hooks?,8b2f5e9d04
How should I handle environment variables when working in GitHub Codespaces?,8b2f5e9d04
What's the best way to pick the right weights for different fields when using minsearch?,87d4ea4e08
Is there a proper method for tuning search field weights instead of just guessing?,87d4ea4e08
How do I know if my field weight choices are actually any good for retrieval?,87d4ea4e08
Should I manually experiment with field weights or is there a smarter approach?,87d4ea4e08
Can I measure how well my search weight configuration is performing?,87d4ea4e08
What's the best way to clean up messy text before feeding it into a RAG pipeline?,649c280e6d
"Should I keep things like page numbers and section titles, or strip all that out when preparing documents?",649c280e6d
Do I need to use JSON for storing preprocessed documents or can I use other formats?,649c280e6d
How do I decide where to split my documents into chunks without losing important context?,649c280e6d
What kind of metadata should I save alongside my document chunks for better search results later?,649c280e6d
"I'm seeing a hardlink error when running uv in Codespaces, should I worry about it?",acf8fa5356
"uv complains about not being able to hardlink files in my GitHub Codespace, does the install still work?",acf8fa5356
How do I get rid of that annoying hardlink warning from uv in Codespaces?,acf8fa5356
What does UV_LINK_MODE=copy do and should I use it?,acf8fa5356
Is the failed to hardlink message from uv a real problem or just a heads up?,acf8fa5356
"Getting 'dotenv not recognized' error, which package do I need?",0bed1f48da
How do I load environment variables in my Python script?,0bed1f48da
What's the correct way to set up dotenv with uv?,0bed1f48da
ModuleNotFoundError for dotenv - what am I missing?,0bed1f48da
How do you import and use dotenv in a Python project?,0bed1f48da
Do I have to use GitHub Codespaces or can I just run everything on my own machine?,aa310de435
Is it okay to set up the course environment locally instead of using Codespaces?,aa310de435
What do I need to install if I want to run the LLM zoomcamp on my computer instead of Codespaces?,aa310de435
Are Codespaces mandatory or just recommended for getting started quickly?,aa310de435
Any tips for managing dependencies if I'm running the course locally instead of in the cloud?,aa310de435
Do I need to push my changes to git or will Codespaces keep everything for me?,610ccb23c0
If my Codespace gets deleted will I lose all the work I haven't committed?,610ccb23c0
Is code automatically persisted in Codespaces even without a git commit?,610ccb23c0
How safe is my uncommitted code inside a Codespace?,610ccb23c0
Can I just rely on Codespaces to store my files without using version control?,610ccb23c0
My computer has plenty of RAM but WSL2 says there's not enough memory to load the model. How do I fix this?,f3dd94f323
How can I increase the memory limit in WSL2 so it can use more of my physical RAM?,f3dd94f323
I'm getting a system memory error when running the model in WSL2 even though my PC has enough RAM. What's going on?,f3dd94f323
What's the process for allocating more RAM to WSL2 on Windows?,f3dd94f323
Where do I configure WSL2 to use more memory for running large models?,f3dd94f323
"My Codespace is stuck on 'Finishing up' and won't load, any ideas how to fix it?",830f3d2018
"I started a fresh Codespace and all my installed packages and config are gone, why?",830f3d2018
How do I keep my work safe if my Codespace gets deleted or rebuilt?,830f3d2018
"Codespaces keeps crashing on me, can I just run everything on my own machine instead?",830f3d2018
"If I stop and restart my Codespace, will my files still be there?",830f3d2018
Is the course locked into OpenAI or can I use other LLM providers?,c6ff9083c0
I live in a country where OpenAI isn't available — what are my options?,c6ff9083c0
Can I run models locally with Ollama instead of calling an external API?,c6ff9083c0
What changes do I need to make in the code if I switch from OpenAI to something like Groq or Gemini?,c6ff9083c0
Where can I find a list of alternative LLM providers that are compatible with this course?,c6ff9083c0
What's the difference between a tool and a function? Do I need to keep them straight?,c296ea5a21
How does the LLM know when to actually call a function instead of just answering directly?,c296ea5a21
"Can a tool do stuff like hit an API or query a database, or is it only for searching documents?",c296ea5a21
In agentic RAG who decides when retrieval happens - is it always automatic or can the model choose?,c296ea5a21
What actually makes agentic RAG different from regular RAG?,c296ea5a21
"Do I need to pay for AI models that support function calling, or are there free options available?",0d74a3616f
Which Groq models can I use for tool use without spending money?,0d74a3616f
Can I use local models like Ollama for function calling instead of OpenAI?,0d74a3616f
"If I switch from OpenAI to something like Gemini or Mistral, do I need to rewrite my code?",0d74a3616f
What are some good free alternatives to OpenAI for building agentic RAG with tool calling?,0d74a3616f
Why am I getting 'str' object has no attribute 'output' when calling the OpenAI Responses API with Groq?,9e7b3f0c25
Can I use the Responses API with non-OpenAI models like Mistral or Gemini?,9e7b3f0c25
How do I switch from the OpenAI Responses API to chat completions for other providers?,9e7b3f0c25
Is it fine to use the old chat.completions API instead of the Responses API for the homework?,9e7b3f0c25
Do I need to change the tools schema when using a different LLM provider?,9e7b3f0c25
Why does Azure OpenAI throw a 400 error saying 'Missing required parameter: tools[0].function'?,b9c7c6bb34
How do I fix the 'tools[0].function' missing parameter error when calling Azure OpenAI?,b9c7c6bb34
What's the correct JSON structure for defining a tool so Azure OpenAI accepts it without errors?,b9c7c6bb34
I keep getting an invalid_request_error about a missing 'function' key in my tool definition - what am I doing wrong?,b9c7c6bb34
How should the get_weather tool be structured to work properly with Azure OpenAI's API?,b9c7c6bb34
Why am I getting a 404 error when trying to use toyaikit with Groq?,0224d980b3
Can I use toyaikit with Anthropic Claude models instead of OpenAI?,0224d980b3
What's the difference between the Responses runner and the ChatCompletions runner in toyaikit?,0224d980b3
How do I configure toyaikit to work with an OpenAI-compatible API that isn't OpenAI itself?,0224d980b3
Is there a way to run toyaikit programmatically without launching the interactive Jupyter chat interface?,0224d980b3
Where exactly do I access the module 1 assignments?,53f15299b6
Is the homework posted on the course website or somewhere else?,53f15299b6
"I can't find the assignment questions for the first module, any pointers?",53f15299b6
Do we submit answers through the learning platform or is everything on GitHub?,53f15299b6
Are the instructions in the repo different from what's shown in the course portal?,53f15299b6
Why does my search return nothing when I try to filter results in homework Q3?,83da208a64
I'm getting an empty response after applying filters - what could be wrong?,83da208a64
"My Elasticsearch query keeps returning an empty list, any ideas on how to fix it?",83da208a64
Do I need to set up index settings before inserting documents for filtering to work properly?,83da208a64
"Getting zero results back from my filtered query in the homework, is my data indexed incorrectly?",83da208a64
Why am I getting a 402 error from OpenRouter when my code seems fine? I thought that was a payment thing.,cfb07a27d5
My free OpenRouter key keeps getting rejected before the model even runs. How do I fix this?,cfb07a27d5
What's the difference between getting a 402 from OpenRouter vs a 429 from OpenAI for quota issues?,cfb07a27d5
How do I set a token limit when using ToyAIKit for the Module 1 homework question 6?,cfb07a27d5
Is there a way to check if my OpenRouter key actually has enough credits left?,cfb07a27d5
"When building the search index for the homework, should I use the original documents or the ones I split into chunks?",b4300adeb1
"I keep fitting the index on my full documents but my answers feel too long, am I missing something?",b4300adeb1
"Why do we need to chunk the docs before creating the index, what's the benefit?",b4300adeb1
How does using chunks instead of full docs actually reduce what gets sent to the LLM?,b4300adeb1
Can someone clarify what 'point RAG at the chunk index' means in question 4?,b4300adeb1
"My answer doesn't exactly match any of the choices but it's really close to one, what should I pick?",5e4ca64cb5
Why is my result slightly different from the given options in the assignment?,5e4ca64cb5
How much can my answer differ before I should worry something went wrong?,5e4ca64cb5
"I'm getting a number that's way off from all the options, any idea what could've gone wrong?",5e4ca64cb5
Do small rounding errors matter when selecting an answer for the homework?,5e4ca64cb5
"The homework prompts are kind of confusing, where can I find more details?",7d3a2e3505
"I'm stuck on the assignment and don't really get what it's asking me to do, any tips?",7d3a2e3505
Where are the actual instructions for the module assignments besides what's on the course site?,7d3a2e3505
How similar is the homework to what we did in class? Can I just follow along with the lesson?,7d3a2e3505
What's the best way to get help when a homework problem doesn't make sense even after reading it?,7d3a2e3505
I'm using Mistral instead of OpenAI for the homework - where do I find the token count in the response?,fe8fed31e6
Can I just use tiktoken to count tokens for any model like Gemini or Groq?,fe8fed31e6
"The API I'm using doesn't seem to return token usage info, how can I figure out my token count?",fe8fed31e6
What's the right way to get input token count from the response object for the Module 1 assignment?,fe8fed31e6
"If my provider's token count doesn't exactly match any of the multiple choice answers, what should I pick?",fe8fed31e6
Why does the homework checker say my link gives a 500 error when it works fine for me?,bcdb8740ce
Do I need to remove the .git from the end of my repo URL before submitting the homework?,bcdb8740ce
Should my GitHub repo be public for the homework submission to pass?,bcdb8740ce
How can I test if my submission link will work with the auto-grader?,bcdb8740ce
"The bot says my homework URL returns a non-200 status code, what am I doing wrong?",bcdb8740ce
How do embeddings actually work under the hood?,69430a79a8
Why do we need to turn text into numbers for search?,69430a79a8
What does it mean when two embeddings are close to each other?,69430a79a8
What's the connection between embeddings and dimensionality reduction?,69430a79a8
Can someone explain the vector space model in simple terms?,69430a79a8
How do I get rid of that annoying sentence transformers warning in my notebook?,aa3f597424
Is there a way to fix the model version warning without ignoring it?,aa3f597424
What's causing the 'made on sentence transformers v3.0.0' warning to keep showing up?,aa3f597424
Do I need to update something to stop the version mismatch warning from appearing?,aa3f597424
How can I cleanly suppress the multi-qa-mpnet warning instead of just hiding it?,aa3f597424
"Do I need to normalize vectors before using dot product for similarity search, or can I just use dot product directly?",92cd22cada
Why does the lesson use dot product for cosine similarity but the homework asks us to normalize first?,92cd22cada
Are the embeddings from OpenAI already normalized so that dot product equals cosine similarity?,92cd22cada
What happens if I use TF-IDF vectors without normalization - will dot product still give me cosine similarity?,92cd22cada
"Is dot product the same as cosine similarity, or do I need to do something extra to my vectors?",92cd22cada
"When building a vector search index, what's the best strategy — embedding just the question, just the answer, or combining them?",5c4a8d2e60
"For RAG retrieval, does it work to only embed the response text and not the query itself?",5c4a8d2e60
What's the downside of concatenating the prompt and response together before creating embeddings?,5c4a8d2e60
How do I figure out which embedding approach performs best for my specific dataset?,5c4a8d2e60
Is there a recommended way to compare different embedding strategies for semantic search?,5c4a8d2e60
How do you figure out if two documents are talking about similar things?,db78580409
What does it mean when cosine similarity gives you a value of 0 vs 1?,db78580409
Why do we use cosine of the angle instead of just comparing vectors directly?,db78580409
Can cosine similarity be negative and what would that tell you?,db78580409
What kind of vector representations work best with cosine similarity?,db78580409
Why can we just use matrix multiplication instead of calculating cosine similarity for every document?,95feb4e75b
What's the point of normalizing vectors before computing similarity scores?,95feb4e75b
How does cosine similarity actually work under the hood when searching through embeddings?,95feb4e75b
Does vector magnitude matter when comparing embeddings with cosine similarity?,95feb4e75b
Why is dot product enough to rank documents when using cosine similarity?,95feb4e75b
Should I make a separate GitHub repo for the vector search module or is that overkill?,1e829a8c6f
Why do we need a different codespace for Module 2 instead of just using the same one?,1e829a8c6f
"If I delete my Module 2 codespace later, will I lose all my work?",1e829a8c6f
Is it okay to just install the vector search packages in my existing Module 1 environment?,1e829a8c6f
Do I actually need to use Codespaces at all or can I run everything locally for this module?,1e829a8c6f
"My download.py script is stuck at 0% trying to fetch model.onnx from HuggingFace, any idea why?",29b69fbe0b
"The download keeps hanging when pulling the ONNX model file, how can I get past this?",29b69fbe0b
Is there a way to manually grab the model.onnx file instead of using the script since it keeps freezing?,29b69fbe0b
"If I download the onnx model through my browser, where exactly should I place it so the script picks it up?",29b69fbe0b
download.py just sits at 0% forever - could it be a network/CDN issue with HuggingFace?,29b69fbe0b
"When I compare dot product scores from numpy matrix multiplication vs a regular for loop, they don't match exactly - is something wrong with my code?",e889793af9
My vector search results are slightly different depending on whether I use numpy's dot method or manually loop through - what causes this tiny difference?,e889793af9
Should I be worried if the matrix multiplication and loop-based approaches give me slightly different similarity scores?,e889793af9
Why does np.allclose return False when comparing vector search scores computed with a loop vs matrix operations?,e889793af9
Is it normal to get tiny numerical differences between BLAS-optimized dot products and plain Python loops in vector search?,e889793af9
Why is my cosine similarity result totally different from the homework answer choices?,eaa17a9dc6
I used sentence-transformers for the embedding in hw2 and my answer doesn't match any option - is that the problem?,eaa17a9dc6
Do I need to normalize vectors before computing cosine similarity in the second homework?,eaa17a9dc6
Which embedding model am I supposed to use for the module 2 assignment?,eaa17a9dc6
"My similarity score is close but not exactly matching any choice, should I just pick the nearest one?",eaa17a9dc6
Where am I supposed to put my API keys so that Kestra can use them in the flows?,3860e5fe8b
Why do I need to base64 encode the keys before passing them to Kestra?,3860e5fe8b
Do I have to restart Kestra after setting the environment variables for it to recognize them?,3860e5fe8b
How do I reference a secret inside my Kestra flow YAML file?,3860e5fe8b
What's the difference between GEMINI_API_KEY and SECRET_GEMINI_API_KEY?,3860e5fe8b
Why does Kestra AI Copilot keep saying it can only help with creating flows?,04440cab11
"I set up my Gemini API key but the Copilot still refuses to work, what am I missing?",04440cab11
What's the difference between GEMINI_API_KEY and SECRET_GEMINI_API_KEY in Kestra?,04440cab11
"Getting a 429 resource exhausted error from Gemini, is there a quota limit?",04440cab11
Does the Kestra AI Copilot work with other LLMs besides Gemini?,04440cab11
Why does Kestra keep saying my Gemini key is invalid even though I set the environment variable?,c8ca21af33
How do I properly base64 encode an API key so it doesn't break when Kestra reads it?,c8ca21af33
Do I need to restart Kestra after setting a new environment variable for it to take effect?,c8ca21af33
Why isn't my Kestra flow picking up the secret even though it's exported in the terminal?,c8ca21af33
What's the best way to manage API keys for Kestra instead of manually exporting them every time?,c8ca21af33
What's wrong with just using a Jupyter notebook instead of setting up an orchestration tool?,193612db63
Do I really need Kestra for this module or can I skip it and stick to notebooks?,193612db63
What practical stuff does an orchestrator give you that a plain Python script doesn't have?,193612db63
Is Kestra mainly for deploying models or does it actually help with building AI features like RAG and agents?,193612db63
Can I use different LLM providers like Gemini or Anthropic with Kestra or is it locked to OpenAI?,193612db63
I'm getting a JSON decode error when trying to parse the LLM's response for generating ground truth questions. How do I fix this?,a3c7e1b4f9
The model keeps wrapping its JSON output in markdown code blocks and json.loads fails. What's the best way to handle this?,a3c7e1b4f9
How can I force the LLM to return valid JSON instead of adding extra text around it?,a3c7e1b4f9
"Does the response_format parameter work with other providers like Gemini or Groq, or is it OpenAI only?",a3c7e1b4f9
My json.loads call throws 'Expecting value: line 1 column 1' when parsing the model's output. Any idea what's going wrong?,a3c7e1b4f9
"My notebook keeps dying when I try to embed the ground truth data, any idea why?",b8f2d6a30c
Is there a lighter embedding model I can use to avoid running out of memory?,b8f2d6a30c
Will switching to a smaller embedding model mess up my evaluation scores?,b8f2d6a30c
Can I do the embeddings outside the notebook and just load the vectors back in?,b8f2d6a30c
How do I get more RAM in Codespaces so the kernel stops crashing?,b8f2d6a30c
"I keep getting rate limit errors when building the ground truth dataset with Gemini. Adding sleep didn't fully fix it, what else can I do?",c1e9f4b820
What's the cheapest way to generate ground truth data without hitting API caps every time?,c1e9f4b820
Is there a free alternative to Gemini that has better rate limits for creating evaluation datasets?,c1e9f4b820
How do I make sure I don't lose all my progress when the API quota runs out mid-run?,c1e9f4b820
"My tqdm loop crashes after a while because of daily request limits, how can I avoid this?",c1e9f4b820
I'm getting a WinError 126 about fbgemm.dll not being found when running on Windows. Any idea how to fix this?,15e931476c
PyTorch keeps failing to load fbgemm.dll on my Windows machine. What can I do to resolve it?,15e931476c
Getting 'the specified module could not be found' error related to fbgemm.dll. Anyone know what's missing?,15e931476c
Do I need Visual Studio installed for PyTorch to work properly on Windows? Getting some dll loading error.,15e931476c
My torch installation throws an OSError about fbgemm.dll dependencies. Is Visual C++ Redistributable the fix?,15e931476c
Why am I getting a connection error saying it can't resolve the postgres hostname?,4b65d5542d
"prep.py is throwing a database connection error, what do I need to change?",4b65d5542d
How to fix the 'could not translate host name' error when running the prep script?,4b65d5542d
Where do I change the database host settings to get prep.py working?,4b65d5542d
"My script can't find the postgres server, any idea what's wrong with my config?",4b65d5542d
"My pandas dataframe is cutting off long text in some columns, how do I make it show the full string?",641aedbbf5
"When I print a dataframe, the text gets replaced with dots. Is there a way to stop pandas from truncating column values?",641aedbbf5
I'm trying to read long explanations in a column but pandas keeps shortening them. Any fix for this?,641aedbbf5
How can I stop pandas from hiding the rest of my text with an ellipsis?,641aedbbf5
Is there a setting to display the complete text content of a cell instead of just the first few characters?,641aedbbf5
What's the easiest way to make all my embedding vectors unit length in a pandas dataframe?,5039707c1a
How do I rescale each row in a series so they all have a magnitude of 1?,5039707c1a
Is there a simple trick to divide each vector by its own norm using pandas apply?,5039707c1a
Can someone show me how to standardize vector columns in a dataframe using numpy?,5039707c1a
How to go about converting dataframe vectors to unit vectors without writing a loop?,5039707c1a
What's the easiest way to get the 75th percentile from a specific column in pandas?,b4c8ac5a0c
How do I find a particular quantile value for a Series in pandas?,b4c8ac5a0c
Is there a built-in pandas method to calculate percentiles on a DataFrame column?,b4c8ac5a0c
Can someone show me how to extract the 0.75 quantile from a pandas DataFrame?,b4c8ac5a0c
How to get statistical percentiles like the 75th from a pandas column?,b4c8ac5a0c
How do I wipe everything from Docker at once?,66ccbb7da0
Is there a quick command to stop and remove every Docker container?,66ccbb7da0
What's the easiest way to clean up all unused Docker images?,66ccbb7da0
How can I delete all my Docker volumes from the command line?,66ccbb7da0
Any shortcuts for clearing out Docker completely when starting fresh?,66ccbb7da0
How do I stop users from submitting feedback multiple times in Streamlit?,2e729f1271
Why does my session state variable keep resetting to its default value after button clicks?,2e729f1271
What's the right way to disable feedback buttons after the first click in Streamlit?,2e729f1271
My st.session_state variable gets overwritten unexpectedly - how can I prevent that?,2e729f1271
How to make sure +1/-1 buttons only work once per question submission in Streamlit?,2e729f1271
"My streamlit container keeps crashing saying streamlit executable not found, but it works when I run it normally without docker. What am I missing?",e8df9f0d12
Getting an OCI runtime error about streamlit not being in PATH when using docker-compose - how do I fix this?,e8df9f0d12
Do I need a separate Dockerfile for my streamlit app or can I just use docker-compose?,e8df9f0d12
"After adding streamlit to my compose file, do I need to rebuild the image for changes to take effect?",e8df9f0d12
What's the proper way to package a streamlit app so Docker can actually find the executable?,e8df9f0d12
Can my friend and I work on the capstone together as a team?,0fab61eca2
Are we allowed to team up with classmates for the final project?,0fab61eca2
Do I have to do the capstone by myself or can it be done in pairs?,0fab61eca2
What if multiple people want to build one big system for the capstone?,0fab61eca2
Can two people submit the same project for the capstone?,0fab61eca2
Is it mandatory to submit two capstone projects or just one is fine?,d5fc98925d
"What happens if my project doesn't pass on the first try, can I try again?",d5fc98925d
Can I work on two different projects to get more experience?,d5fc98925d
"If I miss the first submission deadline, am I completely out of luck?",d5fc98925d
Do I still get certified if I skip the peer review part of three classmates?,d5fc98925d
Can I use the Kaggle competition instead of doing the capstone project?,e892d44e42
Is it okay to team up with others for the final project?,e892d44e42
Do I have to work on the capstone by myself or can it be a group thing?,e892d44e42
"If I join the LLM competition, does that fulfill the capstone requirement?",e892d44e42
Are we allowed to collaborate with classmates on the capstone?,e892d44e42
Who actually grades the capstone project? Is it instructors or other students?,9a2e2d2008
