question,document,score,reasoning
How do I ask questions during the live stream?,489dd1c9d9,bad,"The AI answer correctly identifies the key point: students should submit questions via Slido (link pinned in chat when live) and should avoid posting questions in chat. However, it misses several important details from the ground truth: that the Zoom link is only for instructors/presenters/TAs, that students participate via YouTube Live, that the video URL is posted in the announcements channel on Telegram and Slack, and that you can watch on the DataTalksClub YouTube channel. While the core mechanism for asking questions (Slido) is correct, the answer omits significant context about how to access and participate in the live stream, which was part of the original answer."
Where does the livestream link get posted before sessions start?,489dd1c9d9,bad,"The AI answer correctly addresses the student's direct question: the livestream link is posted in the announcements channel on Telegram and Slack. It also mentions watching on the DataTalksClub YouTube Channel, which is correct. However, it omits some additional details from the original answer: that the Zoom link is only for instructors/presenters/TAs, that students submit questions via Slido (pinned in chat when live), and that questions shouldn't be posted in chat as they may be missed. While the core question is answered correctly, significant supplementary information from the original answer is missing."
Can I participate in office hours through Zoom or is it YouTube only?,489dd1c9d9,good,"The AI answer correctly conveys the key information: students participate via YouTube Live (not Zoom), the Zoom link is restricted to instructors/presenters/TAs, questions should be submitted via Slido (link pinned in chat), and questions shouldn't be posted in chat as they may be missed. The AI answer does omit the detail about the video URL being posted in the Telegram/Slack announcements channel and the YouTube channel link, but the core answer to the student's question is correct and complete."
Is there a specific order I need to follow for the lessons or can I just jump in whenever?,04919992b3,bad,"The AI answer completely fails to answer the student's question. The original answer clearly states that students can start whenever they want, provides useful links to documentation and the GitHub repository, explains the typical workflow (watch videos, work through notebooks, read homework instructions, submit answers), and notes that homework uses a different dataset. The AI answer claims it doesn't know and that the context doesn't contain the information, which is entirely incorrect — the information was clearly available. This is a bad answer."
What's the usual routine for getting through each module in this course?,04919992b3,bad,"The AI answer correctly covers the typical module workflow (watch videos, work through notebooks/code, read homework instructions on GitHub, submit through course platform before deadline) and mentions that homework follows the same flow but with a different dataset or task. It also notes that you can start whenever you want and materials are available. 

However, it omits the specific resource links: the LLM Zoomcamp docs, general Zoomcamp logistics docs, the GitHub repository link, and the course management platform link. These links are part of the key information in the original answer, directing students to where they can find materials and deadlines. While the core workflow is conveyed correctly, the missing links represent a meaningful gap in the answer's completeness, especially for a course logistics question where knowing exactly where to go is important."
"I'm new to the course, where exactly should I begin?",04919992b3,good,"The AI answer conveys the same key information as the original: the three starting resources with correct links, the self-paced nature, and the 4-step weekly workflow. The only minor omission is the missing link to the course management platform where deadlines are listed, but the workflow still references ""the course platform."" This is a small detail gap, not a fundamental error. The core answer is correct and complete enough."
How do the homework assignments compare to what's covered in the lectures?,04919992b3,good,"The question asks how homework assignments compare to what's covered in lectures. The key answer from the ground truth is: ""Homework is similar to the lesson flow, but uses a different dataset or slightly different task."" The AI answer conveys essentially the same information: homework follows the lesson workflow but uses a different dataset or applies the same ideas in a slightly different way. The AI answer captures the core point correctly. The original answer also includes extra logistical details (links, workflow steps, deadlines), but those are supplementary context rather than the core answer to this specific question. The AI answer directly and accurately addresses the question asked."
Where can I find all the important dates and due times for assignments?,04919992b3,bad,"The AI answer correctly identifies the course management platform (https://courses.datatalks.club/llm-zoomcamp-2026/) as the place to find deadlines and due times, which is the core of the question. However, it misses the additional recommended resources from the original answer: the LLM Zoomcamp docs, general Zoomcamp logistics docs, and the GitHub repository. The original answer also includes helpful context about workflow and the self-paced nature of the course. While the AI answer provides the single most directly relevant link for dates and deadlines, it omits the broader set of resources that the original answer points to. This is a partial answer — correct on the key point but incomplete."
Where can I find my entry in the rankings? I can't seem to spot myself.,c2903069a0,bad,"The AI answer ""I don't know."" completely fails to address the student's question. The original answer provides helpful guidance on how to find one's entry on the leaderboard (via the ""Jump to your record"" link), explains the random name assignment, and details how to view/change display names through the ""Edit Course Profile"" button. The AI answer provides none of this information."
How do I change the weird random name that got assigned to my profile?,c2903069a0,good,"The AI answer correctly covers the key points from the original answer: (1) You get a random name like ""Lucid Elbakyan"" when setting up your account, (2) Click ""Edit Course Profile"" to change it, (3) The first field is the display/nickname used publicly (leaderboard, Slack, GitHub, etc.), and (4) The second field is for the official name for certificates and is mandatory if you don't want the random name on your certificate. The AI answer omits the ""Jump to your record on the leaderboard"" link detail, but this is a minor supplementary detail and the core answer is fully conveyed."
What should I put in the name fields in my course profile settings?,c2903069a0,good,"The AI answer correctly captures all the key information from the original answer: (1) the first field is a display name/nickname that can be changed for anonymity, defaulting to a random name like ""Lucid Elbakyan""; (2) the second field should contain the official name from identification documents and will appear on the certificate. It mentions the random default name, the leaderboard context, anonymity option, and the official ID requirement for the certificate. All core points are covered accurately."
Will the auto-generated nickname show up on my certificate if I don't change it?,c2903069a0,good,"The student asks whether the auto-generated nickname will appear on their certificate if they don't change it. The AI answer correctly and directly addresses this: yes, the auto-generated nickname will appear on the certificate unless the student changes the second field in ""Edit Course Profile"" to their official name. This captures the core point of the original answer. While the AI answer omits some supplementary details (how to find your entry on the leaderboard, what the first field is, anonymity options), it correctly conveys the essential information needed to answer the question. The extra details in the original are helpful context but not required to answer the specific question asked."
Is it possible to stay anonymous on the leaderboard while still participating?,c2903069a0,good,"The AI answer correctly addresses the core question: yes, you can stay anonymous on the leaderboard. It mentions the automatic random nickname assignment (e.g., ""Lucid Elbakyan""), explains that the display name can be left as-is or changed to another nickname via ""Edit Course Profile,"" and notes that the official name (for certificates) is separate from the leaderboard display name. This captures all the key information from the original answer. The AI answer doesn't explicitly mention the ""Jump to your record on the leaderboard"" link or the image reference, but these are secondary details and the absence of them doesn't diminish the correctness of the answer. The core information is fully conveyed."
Is it possible to earn a certificate if I go through the course at my own pace?,69d122f12e,good,"The AI answer captures all the key points from the original answer: (1) No certificate for self-paced mode, (2) certificate only available with a ""live"" cohort, (3) the reason being the peer-review requirement of 3 capstones, and (4) peer-review can only be done while the course is actively running. The information is semantically equivalent."
Why can't I get a certificate for completing the course on my own schedule?,69d122f12e,good,"The AI answer correctly conveys all key information from the original answer: (1) certificates are only available for ""live"" cohort completion, not self-paced mode; (2) the reason is that 3 peer-reviewed capstones are required after submitting your own project; and (3) peer reviews can only be done while the course is running, before the form closes and the peer-review list is compiled. The AI answer is semantically equivalent to the ground truth."
Do I need to join a live cohort to qualify for the certificate?,69d122f12e,good,"The AI answer correctly conveys all key points from the original answer: (1) You must join and finish with a live cohort to get a certificate, (2) certificates are not awarded for self-paced mode, (3) the reason is peer-review of capstones, and (4) peer-review can only be done while the course is actively running. The AI answer condenses the detail about ""3 capstones"" and the form closing process, but the core information is semantically equivalent. The answer is correct and complete."
Can I still do peer reviews for the capstone projects if I'm not part of a live session?,69d122f12e,good,"The AI answer correctly conveys the key information from the ground truth: peer reviews can only be done during a live cohort, not in self-paced mode. It directly quotes the relevant portion about peer reviews being available only when the course is running. The answer is semantically equivalent and covers the main point accurately."
What happens if I finish all the coursework but miss the live cohort timing?,69d122f12e,bad,"The AI answer is ""I don't know,"" which completely fails to address the student's question. The original answer clearly states that no certificate is awarded if you miss the live cohort timing, explains that certificates are only given for live cohorts (not self-paced mode), and provides the reason that peer review of 3 capstones is required during the live course run. The AI answer conveys none of this critical information."
Do I need to complete all the assignments to qualify for the certificate?,9f689c185f,good,"The AI answer conveys the same key information as the original answer: (1) Only the Capstone project needs to be passed to get the certificate, (2) homework is not mandatory but recommended, and (3) homework points count towards leaderboard rank. The AI answer adds a direct ""no"" response to the question's phrasing about completing ""all assignments,"" which is accurate and helpful. All core information matches the ground truth."
Is it possible to earn the certificate if I skipped some of the earlier assignments?,9f689c185f,good,"The AI answer conveys exactly the same key information as the ground truth: (1) Yes, it is possible to earn the certificate even if you skipped earlier assignments; (2) Homework is not mandatory; (3) You need to pass the Capstone project to get the certificate; (4) Homework is recommended for reinforcing concepts; (5) Points count towards leaderboard rank. All details are present and accurate."
What's actually required to pass the course and get certified?,9f689c185f,good,"The AI answer correctly conveys the core point from the ground truth: passing the Capstone project is required for the certificate, and homework is not mandatory (only recommended). However, the AI answer includes two additional requirements not present in the ground truth: (1) completing the course with a ""live"" cohort (no certificate in self-paced mode), and (2) peer-reviewing 3 capstones. While these extra details may be factually correct and add useful context, they introduce claims not covered in the ground truth. The core answer about capstone and homework is correct and complete. Since the instructions say ""Extra detail is fine as long as the core answer is correct,"" and the core message matches, the extra details (if accurate) are acceptable. The answer does not contradict the ground truth and fully covers its key points."
Are the weekly assignments mandatory or just for practice?,9f689c185f,good,"The AI answer correctly conveys all the key information from the original answer: (1) homework/weekly assignments are not mandatory, (2) they are recommended for reinforcing concepts, (3) points count toward leaderboard rank, and (4) passing the Capstone project is required for the certificate. The AI answer is semantically equivalent to the ground truth."
"If I only do the final project, is that enough to get the certificate?",9f689c185f,bad,"The AI answer correctly addresses the core question (yes, passing the Capstone is enough; homework is not mandatory). However, it has notable differences from the ground truth: (1) It omits the information that homework is recommended for reinforcing concepts and that homework points count towards the leaderboard rank, which is a key part of the ground truth answer. (2) It introduces two extra requirements (live cohort and peer reviews) that are not mentioned in the ground truth. While these extra details could be factually correct, they are not part of the original answer and could confuse the student or imply additional barriers not reflected in the FAQ answer. The core answer is correct, but the omissions and additions make it not fully semantically equivalent."
"The homework page keeps updating, is it safe to start working on it now?",96286b4be4,good,"The AI answer conveys all the key information from the original answer: it explains that working on the homework early is at your own risk, lists both conditions for when the homework is ready (form is open AND title doesn't contain [DRAFT]), and notes that content can still change until then. The AI answer also incorporates the [DRAFT] indicator meaning. The only minor difference is the original explicitly states ""If the homework title contains [DRAFT], it means the homework is not ready yet"" as a standalone sentence, while the AI answer embeds the [DRAFT] check within the readiness conditions. This is semantically equivalent — all critical information is preserved."
How do I know when the assignment is actually finalized and ready to be done?,96286b4be4,good,"The AI answer conveys all the key information from the original answer: (1) the assignment is ready when the form is open on the platform AND the title does not contain [DRAFT], (2) until then content can change, and (3) working in advance is at your own risk. The AI answer is semantically equivalent to the ground truth."
Why does it say DRAFT on the homework title?,96286b4be4,bad,"The AI answer correctly identifies that [DRAFT] means the homework is not ready and that content can still change. However, it misses two key pieces of information from the ground truth: (1) the specific conditions under which homework is considered ready (both the form being open AND the title not containing [DRAFT]), and (2) the warning that working on it in advance is at your own risk because the final version can be different. These are important details that constitute part of the core answer."
"I already submitted the homework but the questions look different now, what happened?",96286b4be4,good,"The AI answer correctly identifies the key reason: the homework title contained `[DRAFT]`, meaning it wasn't finalized and content could still change. It also accurately conveys the two conditions for readiness (form open on the platform AND title doesn't contain `[DRAFT]`). The answer covers the main points well. The only minor omission is that it doesn't explicitly mention ""working on it in advance is at your own risk,"" but this is supplementary information rather than the core answer. The core explanation is fully and correctly communicated."
Is there a way to tell if the homework content is still being modified or if it's the final version?,96286b4be4,good,"The AI answer correctly conveys both key conditions from the original answer: (1) the homework title must not contain [DRAFT], and (2) the submission form on the course management platform must be open. It also notes that the content can still change before both conditions are met. While it omits the explicit ""at your own risk"" warning about working ahead, all the core factual information is present and accurately represented."
Is there another cohort coming up after this one ends?,bd31146b0e,bad,"The ground truth answer is ""Summer 2027,"" which directly answers the student's question about the next cohort. The AI answer says ""I don't know,"" which completely fails to provide the correct information. This is a clear case of an incorrect answer."
How long do I have to wait if I miss the current enrollment?,bd31146b0e,bad,"The original answer states the next enrollment period would be in Summer 2027. The AI answer says ""I don't know,"" which fails to provide any of the key information. It completely misses the answer."
Do you guys run this course every year or is there a schedule?,bd31146b0e,bad,"The original answer directly states ""Summer 2027"" as the schedule for the course. The AI answer says ""I don't know,"" which fails to provide the correct information. This is a clear case of the AI answer being wrong and missing the key point entirely."
"I can't join right now, when's the next opportunity to take this?",bd31146b0e,good,"The AI answer correctly states that the next opportunity to take the course is Summer 2027, which matches the ground truth exactly. The additional phrasing (""Based on the provided context"" and ""the course will next be offered in"") does not change the core answer."
Will this be available again anytime soon?,bd31146b0e,bad,"The ground truth answer provides a specific timeframe: ""Summer 2027."" The AI answer says it doesn't know and claims there is no information available. This completely misses the key point of the correct answer. The AI failed to provide the availability date that was present in the ground truth."
Do you guys have video lessons for this course or is it all text-based?,31456f4b5f,bad,"The AI answer ""I don't know"" completely fails to answer the student's question. The original answer provides specific, helpful information: that video lessons ARE available, linked at the top of each lesson folder in the LLM Zoomcamp GitHub repository, and that the GitHub repo should be used as the primary entry point. The AI answer conveys none of this information."
Where can I find the lecture videos?,31456f4b5f,good,"The AI answer conveys all the key information from the original answer: the GitHub repository URL as the main entry point, the instruction to open lesson folders, the note that each lesson page has videos linked at the top, and the recommendation to follow the GitHub repo first because it's easier to keep updated than the YouTube playlist. The only difference is the absence of an image reference, which is not substantive content. The answers are semantically equivalent."
Is there a YouTube playlist with all the course videos?,31456f4b5f,good,"The AI answer captures the key points from the original answer: use the GitHub repository as the main entry point, each lesson folder has relevant videos linked at the top, and GitHub is preferred because it's easier to keep updated than the YouTube playlist. All core information is conveyed correctly."
How do I navigate to the video content for each module?,31456f4b5f,bad,"The AI answer does not address the student's actual question about how to navigate to video content for each module. The ground truth answer specifically says to use the LLM Zoomcamp GitHub repository, open lesson folders, and find videos linked at the top of each lesson page. The AI answer instead talks about live/workshop office hours sessions and Telegram/Slack announcements, which is not what was asked. The AI answer completely misses the key information about using the GitHub repo as the main entry point and navigating lesson folders to find module videos."
Are the lectures hosted somewhere specific or just on GitHub?,31456f4b5f,good,"The AI answer correctly conveys all key information from the original answer: (1) the GitHub repository is the main entry point, (2) lesson folders in the repo contain video links at the top of each page, and (3) the GitHub repo should be prioritized over the YouTube playlist because it's easier to keep updated. The only differences are stylistic — the AI answer omits the specific URL and image reference, but these are minor and do not change the core information. The answer is semantically equivalent."
